Referencia;Descripcion;Contenido
45996;Manivela de 50mm con roseta y cuadradillo de 8mm de aluminio en color cromo mate para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-50mm-roseta-cdllo-8mm-al-color-cr-mt-p-pta-i-2u-45996-1403005360-1cba-md01_500.jpg
46005;Manivela de 120mm con cuadradillo de 8mm de aluminio en color plata para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-120mm-cdllo-8mm-al-color-pt-p-pta-i-2u-46005-1403005361-9a94-md01_500.jpg
44111;Manivela de 110mm con cuadradillo de 8mm de aluminio en color plata para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-110mm-cdllo-8mm-al-color-pt-p-pta-i-2u-44111-1403005362-b773-md01_500.jpg
46004;Manivela de 120mm con cuadradillo de 8mm de aluminio en color negro para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-120mm-cdllo-8mm-al-color-ng-p-pta-i-2u-46004-1403005363-d6f7-md01_500.jpg
46003;Manivela de 120mm con cuadradillo de 8mm de aluminio en color blanco para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-120mm-cdllo-8mm-al-color-bl-p-pta-i-2u-46003-1403005364-3147-md01_500.jpg
44110;Manivela curva de 255mm con placa y cuadradillo de 8mm de zamak en color níquel satinado para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-cv-255mm-pl-cdllo-8mm-zamak-color-nq-sat-p-pta-i-2u-44110-1403005365-cf74-md01_500.jpg
45188;Manivela de 110mm con cuadradillo de 6mm de aluminio en color plata para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-110mm-cdllo-6mm-al-color-pt-p-pta-i-2u-45188-1403005366-473e-md01_500.jpg
44109;Manivela curva de 255mm con placa y cuadradillo de 8mm de zamak en color dorado brillante para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-cv-255mm-pl-cdllo-8mm-zamak-color-dor-brill-p-pta-i-2u-44109-1403005367-4fbc-md01_500.jpg
45989;Manivela curva de 250mm con placa y cuadradillo de 8mm de zamak en color dorado mate para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-cv-250mm-pl-cdllo-8mm-zamak-color-dor-mt-p-pta-i-2u-45989-1403005368-4ec8-md01_500.jpg
44108;Manivela curva de 255mm con placa y cuadradillo de 8mm de zamak en color dorado mate para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-cv-255mm-pl-cdllo-8mm-zamak-color-dor-mt-p-pta-i-2u-44108-1403005369-ca91-md01_500.jpg
45990;Manivela curva de 250mm con placa y cuadradillo de 8mm de zamak en color cromo mate para puertas de interior (2u);https://media.telematel.com/assets/alfa-dyser-manivela-cv-250mm-pl-cdllo-8mm-zamak-color-cr-mt-p-pta-i-2u-45990-1403005370-6894-md01_500.jpg
43221;Cerradura curva 17x15x30mm con llaves iguales para buzón presión en color cromado;https://media.telematel.com/assets/alfa-dyser-cerradura-cv-17x15x30mm-llv-iguales-p-bzn-pres-color-cmd--43221-1403005371-7737-md01_500.jpg
44035;Cerradura corredera 16x19x32mm para cajón;https://media.telematel.com/assets/alfa-dyser-cerradura-corredera-16x19x32mm-para-cajon-44035-1403005372-2632-md01_500.jpg
43360;Cerradura recta 17x15x35mm para buzón presión en color cromado;https://media.telematel.com/assets/alfa-dyser-cerradura-recta-17x15x35mm-para-buzon-presion-en-color-cromado-43360-1403005373-2699-md01_500.jpg
44029;Cerradura curva 148 16x22x34mm para buzón en color dorado;https://media.telematel.com/assets/alfa-dyser-cerradura-curva-148-16x22x34mm-para-buzon-en-color-dorado-44029-1403005374-17fb-md01_500.jpg
43361;Cerradura recta 17x15x35mm para buzón presión en color dorado;https://media.telematel.com/assets/alfa-dyser-cerradura-recta-17x15x35mm-para-buzon-presion-en-color-dorado-43361-1403005375-68bf-md01_500.jpg
43362;Cerradura curva 17x15x35mm para buzón presión en color dorado;https://media.telematel.com/assets/alfa-dyser-cerradura-curva-17x15x35mm-para-buzon-presion-en-color-dorado-43362-1403005376-9bc8-md01_500.jpg
